cat
12-28-2015 Flood
Actvt Court Warrant
Add Block Contact
Alter Hist No Permit
Animal Abuse
APPEARANCE
Asbestos
Athletic Fields
Bad Condition
"Bad Drain/Sewer, Ext"
"Bad Drain/Sewer, Int"
Bagged Leaf Pickup
Ballfield Benches
Bats
Bed Bugs
Bike Lane Issues
Billboard Inspection
Birds-Food Cntrl
Broken/Hanging Limb
Building Collapse
Bulky items missed
Carriage Horses
Cart dumped incomplt
Cave-Ins
Check Welfare
Child Center
"Child Center, Ext"
"Child Center, Int"
CHK-JOBSITE
City Tree Down
City Tree Limb Down
Clean Picnic Tables
Cntainr near window
Cntainr too heavy
Cntnr blocking
Cntnr knocking wires
Cntnr out of postion
Cntnr overflow/bulky
Cntnr turned
Comml coll after hrs
"Comml Dumpster, Ext"
Const Hist No Permit
Const No Permit-Ext
Const No Permit-Int
Containr damaged
Containr not level
Containr smells bad
Contract Pub Bldg Wk
Contract Street Work
Corrections
Critical Sign
Curb Painting
Curb Repair
Cut FnceLine/TreeLwn
Cut Median-Pkwy
Dangerous Animal
Dangerous Dog
Dead Animal
Dead Dog-ACC
Dead Limbs in Park
Debris-alley/street
Debris-Occupied Bldg
Debris-Vacant Bldg
Debris-Vacant Lot
Defective Plumbing
Defective Toilet
Demo Blowing Dust
Demolition No Permit
Derelict-Privt Ppty
Derelict-Rt of Way
Did not get cart
Disabled Parking
Electrical Insp
Enforce Ordinace
Evictions
FH-MAINTENANCE
FH-RUNNING
Fill Dirt Request
Fire Escapes-Exits
Fire Exit Insp
Fire Public Relation
Food Estab. Problem
Food worker ill
Foodbourne Illness
Foodbrne Ill - Tweet
Foodbrne Ill - Yelp
Foreman cntct citizn
Fountains
Fumes/Smells/Odors
Graffiti-Illegal
Graffiti-Park Equip
Graffiti-Private
Graffiti-Prvt Dmpstr
Graffiti-Public
Hazrds Waste
"Hazrds Waste, Ext"
"Hazrds Waste, Int"
High Grass in Park
Hole-bottom of cont
HOLE-DEPRESSION
Holiday Collct Schd
Homeless Call
Housing Discrim
Hsehld Wst Disposal
HYDRANT-HIT
Idling
Illegal dumpg report
Illegal Food Estbt
Illegal Use
Illegl Use-Opn Storg
Illgal Estbt-Com San
Impropr resdnt displ
Inaccessible Facilty
Inaccessible Program
Incorrect Bill
"Industrial Haz, Ext"
Injured Animal
Injured/Sick Animal
Inmate Complaint
Insects Food Ctrl
"Insp Hotel, Int"
Inspect City Tree
Inspect Private Tree
Instructn hshld/blky
Insufficient Heat
Intake Form
Investigatr Callback
KINGSHIGHWAY CLOSURE
LAWN-CAVEIN
Lead Hotline Call
Lead Insp
Leaf pick up
LEAKING-METER
Leash Law
Leaves in Park
Light Damaged
Light(s) Out
Lights ON Daytime
Litter Warning
Long Term Initiative
Loop Trolley
LOOSE-COVER
LRA Board up
LRA Demo Submission
LRA Tree
Maintain Bike Trail
Mechanical Insp
"Mice Infstation, Int"
Minimum Wage
Misc PrjConn Feedbck
Misc-Animal Care
Misc-Assessor
Misc-Bd of Aldermen
Misc-Bd of Pub Svc
Misc-Building Div
Misc-City Counselor
Misc-City Courts
Misc-City Emrgcy Mng
Misc-Civil Rights En
Misc-Coll of Revenue
Misc-Comm Dev Admin
Misc-Comm Sanitation
Misc-Communications
Misc-Comptroller
Misc-Corrections
Misc-Dept Human Svc
Misc-Excise
Misc-Fire/EMS Dept
Misc-Food Control
Misc-License Coll
Misc-LRA
Misc-Mayors Ofc
Misc-Nbhd Stblizn Tm
Misc-Ofc on Disabled
Misc-Op Brightside
Misc-Parks Div
Misc-Plng Urban Dsgn
Misc-PRF Dir Ofc
Misc-Public Safety
Misc-Recreation
Misc-Recycle Sectn
Misc-Refuse Div
Misc-Soulard Market
Misc-Stl Agncy Aging
Misc-Street Dept
Misc-Street Div
Misc-Tow Lot
Misc-Traffic Div
Misc-Trash Task Frc
Misc-Treasurer
Misc-Water Div
Missed Cut - V Lot
Missed Cut - VBldg
MISSING-COVER
MODOT Referral
Mold - Food Cntrl
"Mold, Interior"
Mosquito Breeding
Mosquito Spraying
Move container
New Account Insp Req
New Sign Requested
No comml dumpster
"No Heat, Int"
No Hep A - Food Ctrl
"No Hot Water, Int"
No Interpreter
No response from DNR
No Smoke Detectors
No Water - Food Ctrl
"No Water Supply, Int"
Noise
Not enough cntnrs
NOWATER
NSO Block Request
Opt Out Applctn Req
Other Alley Repair
Other Street Repair
Over 4 Pets
"Over 4 Pets, Ext"
Overcrowding
Ovrflwng littr barel
Park Lake
Park Restrooms
Park Sewer Problem
Parking Lot Cndition
Parking Meter
Parking Ticket
Pets in restaurant
Playground Equipment
Plumbing Insp
PmtApp_Tree
Potholes - Alley
Potholes - Major St
Potholes - Residnl
Ppty Maint Code-Ext
Ppty Maint Code-Int
PRESSURE
Privt Hauler Cnfirmd
Problem with food
Prohibited Animal
Property Damage-FIRE
Property Damage-FOR
Property Damage-LRA
Property Damage-PRK
Property Damage-REF
Property Damage-SDP
Property Damage-SDV
Property Damage-TLD
Property Damage-TOW
Pub Accmdtn Discrim
Public Nuisance Rpt
Public Swim Pool
Pull Illegal Sign
"Rat Infestation, Int"
Rats (Exterior)
Rats/Mice Food Ctrl
"Raw Garbage, Ext"
Rcy Delivery Missed
Rcy dropoff dumping
Rcy dropoff litter
Rcy dropoff no sign
Rcy dropoff overflow
Rcy pick up svc info
Rcy Presentation
Rec Bldg Maintenance
Rec Equipment
Rec Housekeeping
Rec Programming
Recycling not collec
Refuse Info Call
Refuse not collected
Refuse referl to SDV
Refuse Svc Fee Call
Rehab-roll off cntnr
Remove cntnr
Residnl Prvt Dmpstr
"Roach Infestn, Int"
Rollcart stolen/misg
Sewer Lateral Defect
Short Term Initiativ
Sidewalk Ramp
Sidewalk Repair
Sign needs attention
Signal Bulb Out
Signal Damaged
Signal Dark
Signal Stuck
Signals Flashing
Signals out of sync
Single Light Out
Sirens Not Heard
SLMPD Referral
Smkng Ban Issue
Smoke Detectors
Smoke/CO Alarm Req
Snow/Ice - Major St
Snow/Ice - Residnl
Soulard Mkt Vendor
Special Event Recycl
Speed Bump Project
Sprinkler Systems
Stagnant Water
Stray Animal Cntnd
Stray Cat
Stray Dog At Large
Stray Dog Cntnd-ACC
Street Cleaning
Street Painting Requ
STREET-CAVEIN
Stump Removal
Surrender Pet
"Swim Pool Insp, Ext"
TASTE/ODOR
Tent Encampment
"Tire Storage, Ext"
Too many cntnrs
Traffic Graffiti
Traffic Ticket
Trash in the Park
Trash/Grbage Fd Ctrl
Tree Planting requst
Truck dropped litter
Unauthrz use contain
"Unsanitary Cond, Ext"
"Unsanitary Pets, Ext"
Unsatisfy Cut - VLot
Unsatisfy Cut -VBldg
VACANT BLDG INITIV
Vacant Unit Appeal
Vacnt Bldg Unsecured
Vcnt weed check-web
Vehicle Towing
Vehicle-Rt of Way
WALK-CAVEIN
"Wastewater, Basement"
"Wastewater, Ext"
"Water Leak, Int"
WATER-CITZN-PROP-DAM
Weeds-Alley
Weeds-Occupied Ppty
Weeds-Vacant Bldg
Weeds-Vacant Lot
Whole Blk Lights Out
Wildlife Issue
WTR-COMING-UP
WTR-VACANT-BLDG
Yrd Wste Not Collect
NA
